step,envId,formationType,timeStep,receiverId,old_threshold,delta_T,new_threshold,benign_exceedance_rate,reward
261,0,0,14,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
262,0,0,14,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
263,0,0,14,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
264,0,0,14,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
265,0,0,14,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
266,0,0,14,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
267,0,0,14,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
268,0,0,14,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
269,0,0,14,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
270,0,0,14,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
271,0,0,14,13,1.0,-2.0,1.0,0.0,-0.043500000000000004
272,0,0,14,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
273,0,0,14,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
274,0,0,14,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
275,0,0,14,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
276,0,0,14,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
277,0,0,14,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
278,0,0,14,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
279,0,0,15,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
280,0,0,15,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
281,0,0,15,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
282,0,0,15,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
283,0,0,15,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
284,0,0,15,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
285,0,0,15,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
286,0,0,15,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
287,0,0,15,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
288,0,0,15,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
289,0,0,15,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
290,0,0,15,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
291,0,0,15,13,1.0,-2.0,1.0,0.0,-0.043500000000000004
292,0,0,15,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
293,0,0,15,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
294,0,0,15,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
295,0,0,15,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
296,0,0,15,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
297,0,0,15,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
298,0,0,15,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
299,0,0,16,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
300,0,0,16,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
301,0,0,16,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
302,0,0,16,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
303,0,0,16,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
304,0,0,16,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
305,0,0,16,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
306,0,0,16,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
307,0,0,16,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
308,0,0,16,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
309,0,0,16,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
310,0,0,16,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
311,0,0,16,13,1.0,-2.0,1.0,0.0,-0.043500000000000004
312,0,0,16,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
313,0,0,16,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
314,0,0,16,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
315,0,0,16,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
316,0,0,16,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
317,0,0,16,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
318,0,0,16,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
319,0,0,17,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
320,0,0,17,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
321,0,0,17,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
322,0,0,17,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
323,0,0,17,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
324,0,0,17,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
325,0,0,17,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
326,0,0,17,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
327,0,0,17,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
328,0,0,17,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
329,0,0,17,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
330,0,0,17,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
331,0,0,17,13,1.0,-2.0,1.0,0.0,-0.043500000000000004
332,0,0,17,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
333,0,0,17,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
334,0,0,17,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
335,0,0,17,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
336,0,0,17,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
337,0,0,17,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
338,0,0,17,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
339,0,0,18,1,1.0,-2.0,1.0,0.0,-0.043500000000000004
340,0,0,18,2,1.0,-2.0,1.0,0.0,-0.043500000000000004
341,0,0,18,3,1.0,-2.0,1.0,0.0,-0.043500000000000004
342,0,0,18,4,1.0,-2.0,1.0,0.0,-0.043500000000000004
343,0,0,18,5,1.0,-2.0,1.0,0.0,-0.043500000000000004
344,0,0,18,6,1.0,-2.0,1.0,0.0,-0.043500000000000004
345,0,0,18,7,1.0,-2.0,1.0,0.0,-0.043500000000000004
346,0,0,18,8,1.0,-2.0,1.0,0.0,-0.043500000000000004
347,0,0,18,9,1.0,-2.0,1.0,0.0,-0.043500000000000004
348,0,0,18,10,1.0,-2.0,1.0,0.0,-0.043500000000000004
349,0,0,18,11,1.0,-2.0,1.0,0.0,-0.043500000000000004
350,0,0,18,12,1.0,-2.0,1.0,0.0,-0.043500000000000004
351,0,0,18,13,1.0,-2.0,1.0,0.0,-0.043500000000000004
352,0,0,18,14,1.0,-2.0,1.0,0.0,-0.043500000000000004
353,0,0,18,15,1.0,-2.0,1.0,0.0,-0.043500000000000004
354,0,0,18,16,1.0,-2.0,1.0,0.0,-0.043500000000000004
355,0,0,18,17,1.0,-2.0,1.0,0.0,-0.043500000000000004
356,0,0,18,18,1.0,-2.0,1.0,0.0,-0.043500000000000004
357,0,0,18,19,1.0,-2.0,1.0,0.0,-0.043500000000000004
358,0,0,18,20,1.0,-2.0,1.0,0.0,-0.043500000000000004
